1. Discovery Call — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] create a consultative discovery call script during the first 10 customers stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

2. Elevator Pitch — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] write a concise outcome-led pitch during the offer refinement stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

3. Cold Email — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] write a personalized cold outreach email during the systemization stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

4. Cold DM — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] create a permission-based direct message during the idea validation stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a 30/60/90-day roadmap. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

5. Objection Handling — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] answer a specific sales objection during the early traction stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

6. Proposal — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] draft a persuasive proposal structure during the market expansion stage, working with a 30-day deadline. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

7. Follow-Up — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] write a multi-touch follow-up sequence during the relaunch stage, working with limited technical skills. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a decision matrix and final recommendation. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

8. Closing — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] create an ethical closing conversation during the pre-launch stage, working with a lean budget. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a step-by-step action plan. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

9. Upsell — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] design a relevant post-purchase upsell during the growth plateau stage, working with a small remote team. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

10. Cross-Sell — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] identify and pitch a complementary offer during the profit improvement stage, working with a crowded niche. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a table with priorities, owners, and deadlines. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

11. Renewal — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] prepare a renewal conversation during the premium repositioning stage, working with a part-time schedule. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

12. Win-Back — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] write a dormant-client win-back campaign during the first 10 customers stage, working with a premium positioning goal. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

13. Sales Qualification — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] build a lead scoring and qualification rubric during the offer refinement stage, working with no existing audience. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a concise executive brief followed by implementation details. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

14. Demo Script — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] structure a product demonstration during the systemization stage, working with organic marketing only. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

15. Negotiation — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] prepare a value-protecting negotiation plan during the idea validation stage, working with a need for recurring revenue. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

16. Referral Ask — Act as a specialist in sales prompts. Help a first-time founder in [NICHE] write a natural referral request during the early traction stage, working with one primary offer. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver a checklist with measurable completion criteria. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

17. Discovery Call — Act as a specialist in sales prompts. Help a solo consultant in [NICHE] create a consultative discovery call script during the market expansion stage, working with a local-first market. First ask for the business, audience, offer, price point, available proof, and primary goal. Then deliver three options ranked by effort and expected impact. Include assumptions, exact recommendations, examples tailored to [NICHE], success metrics, avoidable mistakes, and the next three actions. Use practical language, do not invent market data, and clearly label anything that requires validation. Scenario variant 1.

